title,author,length,User-Agent
Something Like Love,Piper Rayne,Length: 6 hrs and 23 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
We Who Wrestle with God,Jordan B. Peterson,Length: 13 hrs,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Recon,Craig Alanson,Length: 17 hrs and 53 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
The Reason I Married Him,Meghan Quinn,Length: 16 hrs and 5 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Vicious Seduction,Jill Ramsower,Length: 9 hrs and 23 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Morning Star (Part 1 of 2) (Dramatized Adaptation),Pierce Brown,Length: 9 hrs and 46 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Mushoku Tensei,Rifujin na Magonote,Length: 7 hrs and 14 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Head over Heels,Karla Sorensen,Length: 11 hrs and 22 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
The Housemaid Is Watching,Freida McFadden,Length: 11 hrs and 42 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Ashes of You,Catherine Cowles,Length: 9 hrs and 12 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Our Own Way 3,Misty Vixen,Length: 10 hrs and 40 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
My Anti-Hero,Tijan,Length: 14 hrs and 31 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
From Punk to Monk,"Ray Raghunath Cappo,Moby - foreword",Length: 11 hrs and 41 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Mastering Magic Collection,Kirk Mason,Length: 26 hrs and 48 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Gravesong,pirateaba,Length: 17 hrs and 48 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Games of Death and Desire,Eva Chase,Length: 17 hrs and 9 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Claim Me Forever,A.L. Jackson,Length: 13 hrs and 21 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Wind and Truth,Brandon Sanderson,Length: 40 hrs,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Save Her Twice,Helen Phifer,Length: 8 hrs and 12 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Threads of Fate,Luke Chmilenko,Length: 21 hrs and 40 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
The Crush,Kelly Fox,Length: 7 hrs and 26 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Attack from Within,Barbara McQuade,Length: 10 hrs and 28 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Serpentine Valentine,Giana Darling,Length: 10 hrs and 37 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Drop Zone,Rick Partlow,Length: 6 hrs and 58 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Celestial Citadel,"James Hunter,Eden Hudson",Length: 10 hrs and 38 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
The Call of the Ice Fields,"Torsten Weitze,Tim Casey - Translator",Length: 23 hrs and 20 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Legend of the Arch Magus: Publisher's Pack 6,Michael Sisa,Length: 14 hrs and 40 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
System Interference,SunriseCV,Length: 12 hrs and 48 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Living in the Daze of Deception,Jack Hibbs,Length: 7 hrs and 5 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
The 5 Components of Love,Princella Carr,Length: 2 hrs and 9 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Mushoku Tensei,Rifujin na Magonote,Length: 9 hrs and 18 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Swift Judgment,Michael Stagg,Length: 10 hrs and 6 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Hell Divers XII: Heroes,Nicholas Sansbury Smith,Length: 13 hrs,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Resisting Maxu,Victoria Aveline,Length: 9 hrs and 50 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Anaheim,"Dennis Vanderkerken,Dakota Krout",Length: 14 hrs and 21 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Red Sky Mourning,Jack Carr,Length: 15 hrs and 30 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
The Witch's Silver Lining,Deanna Chase,Length: 5 hrs and 50 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Hans,S.J. Tilly,Length: 10 hrs and 53 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
The End and the Death: Volume III,Dan Abnett,Length: 14 hrs and 51 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
Jake's Magical Market 2,J.R. Mathews,Length: 22 hrs and 5 mins,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
